BioSample ID	Sample Type	Environment	Instruments
SAMEA116119882	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831135	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831166	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631728	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631732	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631739	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631789	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631794	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631795	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631828	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA9943607	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456424	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456470	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN14089884	crustacean metagenome	gill	Ion Torrent S5 XL, PacBio RS II
SAMN15921176	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921177	soil metagenome	tropical grasslands & savannas	Illumina MiSeq, Sequel II
SAMN15921200	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921215	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921238	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921240	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921278	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921282	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921291	soil metagenome	deserts and xeric shrublands	Illumina MiSeq, Sequel II
SAMN15921315	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921323	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921360	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921399	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921419	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921420	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921427	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921444	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921462	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921500	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921505	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921592	soil metagenome	anthropogenic ecosystem	Illumina MiSeq, Sequel II
SAMN21442474	mollusc metagenome	Hydrothermal vent	Illumina HiSeq X, Illumina MiSeq, MinION
SAMN22304450	clinical metagenome	wound	Illumina MiSeq, MinION
SAMN33214201	marine metagenome	Filtered marine water; Bermuda Atlantic Time Series Expedition 348	Ion Torrent S5, MinION
SAMN37316514	sediment metagenome	Sediments from a chloroalkane-contaminated site in 2001. Cultures have been maintained in anaerobic minimal medium ever since, with chloroform, ethanol, and lactate their carbon and energy sources.	Illumina MiSeq, Sequel II
SAMN37739125	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816808	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816829	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816839	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816841	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816863	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816883	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816886	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816887	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334563	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42797919	sponge metagenome	East Sea of Korea	Illumina MiSeq, Sequel IIe
